title,description,content,full_text,clean_text
US Navy loses $60 million jet at sea after it fell overboard from aircraft carrier - CNN,"A US Navy F/A-18 Super Hornet fighter jet has been “lost” at sea after it fell overboard from the USS Harry S. Truman aircraft carrier while it was being towed on board, the Navy said in a statement on Monday.","A US Navy F/A-18 Super Hornet fighter jet has been lost at sea after it fell overboard from the USS Harry S. Truman aircraft carrier while it was being towed on board, the Navy said in a statement on… [+1479 chars]","US Navy loses $60 million jet at sea after it fell overboard from aircraft carrier - CNN A US Navy F/A-18 Super Hornet fighter jet has been “lost” at sea after it fell overboard from the USS Harry S. Truman aircraft carrier while it was being towed on board, the Navy said in a statement on Monday. A US Navy F/A-18 Super Hornet fighter jet has been lost at sea after it fell overboard from the USS Harry S. Truman aircraft carrier while it was being towed on board, the Navy said in a statement on… [+1479 chars]",us navy loses 60 million jet sea fell overboard aircraft carrier cnn us navy fa18 super hornet fighter jet “lost” sea fell overboard uss harry truman aircraft carrier towed board navy said statement monday us navy fa18 super hornet fighter jet lost sea fell overboard uss harry truman aircraft carrier towed board navy said statement on… 1479 chars
"Papal front-runner: Once on the outs, American Cardinal Tobin now a contender - National Catholic Reporter","Cardinal Joseph Tobin's ecclesial resume was built predominantly outside of the U.S., which might ease concerns about an Americentric papacy. And cardinal electors might be attracted to his story of Vatican exile.","There has been little appetite historically among the College of Cardinals for the idea of a pope from the United States, a global superpower. But this conclave could be different.
Two possible papa… [+7770 chars]","Papal front-runner: Once on the outs, American Cardinal Tobin now a contender - National Catholic Reporter Cardinal Joseph Tobin's ecclesial resume was built predominantly outside of the U.S., which might ease concerns about an Americentric papacy. And cardinal electors might be attracted to his story of Vatican exile. There has been little appetite historically among the College of Cardinals for the idea of a pope from the United States, a global superpower. But this conclave could be different.
Two possible papa… [+7770 chars]",papal frontrunner outs american cardinal tobin contender national catholic reporter cardinal joseph tobins ecclesial resume built predominantly outside us might ease concerns americentric papacy cardinal electors might attracted story vatican exile little appetite historically among college cardinals idea pope united states global superpower conclave could different two possible papa… 7770 chars
New satellite will see through clouds to 'weigh' Earth's forests - BBC,The new satellite will be able to see through clouds and forest canopies.,"Esme StallardClimate and science correspondent
A first-of-its-kind satellite due to launch on Tuesday will be able to see through clouds and leafy canopies to assess how the world's rainforests are … [+4376 chars]","New satellite will see through clouds to 'weigh' Earth's forests - BBC The new satellite will be able to see through clouds and forest canopies. Esme StallardClimate and science correspondent
A first-of-its-kind satellite due to launch on Tuesday will be able to see through clouds and leafy canopies to assess how the world's rainforests are … [+4376 chars]",new satellite see clouds weigh earths forests bbc new satellite able see clouds forest canopies esme stallardclimate science correspondent firstofitskind satellite due launch tuesday able see clouds leafy canopies assess worlds rainforests … 4376 chars
"Trump made big promises and moved at frenetic speed. 100 days in, here's what he's done and not done - AP News","The weeks since President Donald Trump returned to office have been a whirlwind of activity to show Americans his administration is relentlessly pursuing his promises. As Trump hits his 100th day in office Tuesday, his imprint is everywhere. But the long-term…","WASHINGTON (AP) The weeks since President Donald Trump returned to office have been a whirlwind of activity to show Americans that his administration is relentlessly pursuing his promises.
With a co… [+10521 chars]","Trump made big promises and moved at frenetic speed. 100 days in, here's what he's done and not done - AP News The weeks since President Donald Trump returned to office have been a whirlwind of activity to show Americans his administration is relentlessly pursuing his promises. As Trump hits his 100th day in office Tuesday, his imprint is everywhere. But the long-term… WASHINGTON (AP) The weeks since President Donald Trump returned to office have been a whirlwind of activity to show Americans that his administration is relentlessly pursuing his promises.
With a co… [+10521 chars]",trump made big promises moved frenetic speed 100 days heres hes done done ap news weeks since president donald trump returned office whirlwind activity show americans administration relentlessly pursuing promises trump hits 100th day office tuesday imprint everywhere longterm… washington ap weeks since president donald trump returned office whirlwind activity show americans administration relentlessly pursuing promises co… 10521 chars
‘Thunderbolts*’: Sebastian Stan and Wyatt Russell Talk Marvel’s Most Unexpected Story and Wanting to Disprove Naysayers - The Hollywood Reporter,"Russell says his background in sports fueled his desire for the movie to be so good that it proves doubters wrong: ""I want to make you eat your words.""",There’s a scene in Jake Schreier’s Thunderbolts* where Sebastian Stan’s Bucky Barnes ruins an illusion that Wyatt Russell’s John Walker has been trying to uphold. Walker proceeds to give such a vulne… [+7464 chars],"‘Thunderbolts*’: Sebastian Stan and Wyatt Russell Talk Marvel’s Most Unexpected Story and Wanting to Disprove Naysayers - The Hollywood Reporter Russell says his background in sports fueled his desire for the movie to be so good that it proves doubters wrong: ""I want to make you eat your words."" There’s a scene in Jake Schreier’s Thunderbolts* where Sebastian Stan’s Bucky Barnes ruins an illusion that Wyatt Russell’s John Walker has been trying to uphold. Walker proceeds to give such a vulne… [+7464 chars]",‘thunderbolts’ sebastian stan wyatt russell talk marvel’s unexpected story wanting disprove naysayers hollywood reporter russell says background sports fueled desire movie good proves doubters wrong want make eat words there’s scene jake schreier’s thunderbolts sebastian stan’s bucky barnes ruins illusion wyatt russell’s john walker trying uphold walker proceeds give vulne… 7464 chars
Top 10 NFL Draft hauls: Ranking the teams that reeled in the most talent - FOX Sports,"Six teams with losing records in 2024 make our ranking, which should bring new hope to struggling franchises like the Patriots.","Whether it was Houston Texans GM Nick Caserio engineering a league-high seven trades or new Jacksonville Jaguars personnel head James Gladstone pulling off the surprise trade of this years draft, mov… [+11432 chars]","Top 10 NFL Draft hauls: Ranking the teams that reeled in the most talent - FOX Sports Six teams with losing records in 2024 make our ranking, which should bring new hope to struggling franchises like the Patriots. Whether it was Houston Texans GM Nick Caserio engineering a league-high seven trades or new Jacksonville Jaguars personnel head James Gladstone pulling off the surprise trade of this years draft, mov… [+11432 chars]",top 10 nfl draft hauls ranking teams reeled talent fox sports six teams losing records 2024 make ranking bring new hope struggling franchises like patriots whether houston texans gm nick caserio engineering leaguehigh seven trades new jacksonville jaguars personnel head james gladstone pulling surprise trade years draft mov… 11432 chars
Takeaways from Day 1 of police officer’s murder trial for Patrick Lyoya’s death - MLive.com,"The murder trial against Christopher Schurr, the former Grand Rapids police officer who is charged in the death of Patrick Lyoya, got underway Monday.","GRAND RAPIDS, MI The murder trial against Christopher Schurr, the former Grand Rapids police officer who is charged in the death of Patrick Lyoya, got underway with jurors seeing footage of the deadl… [+2748 chars]","Takeaways from Day 1 of police officer’s murder trial for Patrick Lyoya’s death - MLive.com The murder trial against Christopher Schurr, the former Grand Rapids police officer who is charged in the death of Patrick Lyoya, got underway Monday. GRAND RAPIDS, MI The murder trial against Christopher Schurr, the former Grand Rapids police officer who is charged in the death of Patrick Lyoya, got underway with jurors seeing footage of the deadl… [+2748 chars]",takeaways day 1 police officer’s murder trial patrick lyoya’s death mlivecom murder trial christopher schurr former grand rapids police officer charged death patrick lyoya got underway monday grand rapids mi murder trial christopher schurr former grand rapids police officer charged death patrick lyoya got underway jurors seeing footage deadl… 2748 chars
'I didn't look too good because I didn't feel too good': NASA astronaut Don Pettit explains why he seemed so unwell after landing (video) - Space,"""I was right in the middle of emptying the contents of my stomach onto the steppes of Kazakhstan.""","NASA's oldest active astronaut felt as sick as he looked shortly after returning to Earth this month.
Don Pettit and two cosmonaut colleagues came home aboard a Russian Soyuz spacecraft on April 19,… [+2861 chars]","'I didn't look too good because I didn't feel too good': NASA astronaut Don Pettit explains why he seemed so unwell after landing (video) - Space ""I was right in the middle of emptying the contents of my stomach onto the steppes of Kazakhstan."" NASA's oldest active astronaut felt as sick as he looked shortly after returning to Earth this month.
Don Pettit and two cosmonaut colleagues came home aboard a Russian Soyuz spacecraft on April 19,… [+2861 chars]",didnt look good didnt feel good nasa astronaut pettit explains seemed unwell landing video space right middle emptying contents stomach onto steppes kazakhstan nasas oldest active astronaut felt sick looked shortly returning earth month pettit two cosmonaut colleagues came home aboard russian soyuz spacecraft april 19… 2861 chars
‘Miami Vice’ Remake in the Works With ‘Top Gun: Maverick’ Director Joseph Kosinski - Variety,"""Top Gun: Maverick"" director Joseph Kosinski will helm a ""Miami Vice"" reboot.","“Top Gun: Maverick” filmmaker Joseph Kosinski is set to direct a “Miami Vice” remake for Universal Pictures.
Dan Gilroy (“Nightcrawler,” “The Bourne Legacy”) is adapting the screenplay. Though plot … [+1422 chars]","‘Miami Vice’ Remake in the Works With ‘Top Gun: Maverick’ Director Joseph Kosinski - Variety ""Top Gun: Maverick"" director Joseph Kosinski will helm a ""Miami Vice"" reboot. “Top Gun: Maverick” filmmaker Joseph Kosinski is set to direct a “Miami Vice” remake for Universal Pictures.
Dan Gilroy (“Nightcrawler,” “The Bourne Legacy”) is adapting the screenplay. Though plot … [+1422 chars]",‘miami vice’ remake works ‘top gun maverick’ director joseph kosinski variety top gun maverick director joseph kosinski helm miami vice reboot “top gun maverick” filmmaker joseph kosinski set direct “miami vice” remake universal pictures dan gilroy “nightcrawler” “the bourne legacy” adapting screenplay though plot … 1422 chars
"AirPods Pro 2 Are Now Almost Free, Amazon Cuts The Price For The 3rd Time in a Month - Gizmodo",Apple’s AirPods Pro 2 are now available at an irresistible price.,"When Apple launched the AirPods Pro 2 in May last year, they were top of the bill for wireless earbuds with a launching price of $249. But what distinguishes them in particular today is the massive p… [+2371 chars]","AirPods Pro 2 Are Now Almost Free, Amazon Cuts The Price For The 3rd Time in a Month - Gizmodo Apple’s AirPods Pro 2 are now available at an irresistible price. When Apple launched the AirPods Pro 2 in May last year, they were top of the bill for wireless earbuds with a launching price of $249. But what distinguishes them in particular today is the massive p… [+2371 chars]",airpods pro 2 almost free amazon cuts price 3rd time month gizmodo apple’s airpods pro 2 available irresistible price apple launched airpods pro 2 may last year top bill wireless earbuds launching price 249 distinguishes particular today massive p… 2371 chars
Samsung might move the unveiling of its Galaxy S26 line to better compete with iPhone - PhoneArena,A rumor from a proficient leaker says to expect Qualcomm to unveil its next flagship application processor one month earlier this year.,"A discussion is a place, where people can voice their opinion, no matter if it
 is positive, neutral or negative. However, when posting, one must stay true to the topic, and not just share some
 ra… [+760 chars]","Samsung might move the unveiling of its Galaxy S26 line to better compete with iPhone - PhoneArena A rumor from a proficient leaker says to expect Qualcomm to unveil its next flagship application processor one month earlier this year. A discussion is a place, where people can voice their opinion, no matter if it
 is positive, neutral or negative. However, when posting, one must stay true to the topic, and not just share some
 ra… [+760 chars]",samsung might move unveiling galaxy s26 line better compete iphone phonearena rumor proficient leaker says expect qualcomm unveil next flagship application processor one month earlier year discussion place people voice opinion matter positive neutral negative however posting one must stay true topic share ra… 760 chars
The New 2025 Apple iPad Drops to the Lowest Price of the Year on Amazon (All Colors Available) - IGN,Mom would love this for Mother's Day.,"Starting today, Amazon has dropped the price of the newest 2025 11th gen Apple iPad (A16) tablet. All four colors - Blue, Yellow, Pink, and Silver - equipped with 128GB of RAM and Wi-Fi only connecti… [+3147 chars]","The New 2025 Apple iPad Drops to the Lowest Price of the Year on Amazon (All Colors Available) - IGN Mom would love this for Mother's Day. Starting today, Amazon has dropped the price of the newest 2025 11th gen Apple iPad (A16) tablet. All four colors - Blue, Yellow, Pink, and Silver - equipped with 128GB of RAM and Wi-Fi only connecti… [+3147 chars]",new 2025 apple ipad drops lowest price year amazon colors available ign mom would love mothers day starting today amazon dropped price newest 2025 11th gen apple ipad a16 tablet four colors blue yellow pink silver equipped 128gb ram wifi connecti… 3147 chars
Measles – Region of the Americas - World Health Organization (WHO),"As of 18 April 2025, a total of 2318 measles cases, including three deaths, have been confirmed in six countries in the WHO Region of the Americas, an 11-fold increase compared to the same period in 2024. The majority of cases have occurred among people betwe…","As of 18 April 2025, a total of 2318 measles cases, including three deaths, have been confirmed in six countries in the WHO Region of the Americas, an 11-fold increase compared to the same period in … [+21211 chars]","Measles – Region of the Americas - World Health Organization (WHO) As of 18 April 2025, a total of 2318 measles cases, including three deaths, have been confirmed in six countries in the WHO Region of the Americas, an 11-fold increase compared to the same period in 2024. The majority of cases have occurred among people betwe… As of 18 April 2025, a total of 2318 measles cases, including three deaths, have been confirmed in six countries in the WHO Region of the Americas, an 11-fold increase compared to the same period in … [+21211 chars]",measles – region americas world health organization 18 april 2025 total 2318 measles cases including three deaths confirmed six countries region americas 11fold increase compared period 2024 majority cases occurred among people betwe… 18 april 2025 total 2318 measles cases including three deaths confirmed six countries region americas 11fold increase compared period … 21211 chars
iPhone 17 Reaches Key Milestone Ahead of Mass Production - MacRumors,"Apple has completed Engineering Validation Testing (EVT) for at least one iPhone 17 model, according to a paywalled preview of an upcoming DigiTimes...","Apple has completed Engineering Validation Testing (EVT) for at least one iPhone 17 model, according to a paywalled preview of an upcoming DigiTimes report.
The EVT stage involves Apple testing iPho… [+886 chars]","iPhone 17 Reaches Key Milestone Ahead of Mass Production - MacRumors Apple has completed Engineering Validation Testing (EVT) for at least one iPhone 17 model, according to a paywalled preview of an upcoming DigiTimes... Apple has completed Engineering Validation Testing (EVT) for at least one iPhone 17 model, according to a paywalled preview of an upcoming DigiTimes report.
The EVT stage involves Apple testing iPho… [+886 chars]",iphone 17 reaches key milestone ahead mass production macrumors apple completed engineering validation testing evt least one iphone 17 model according paywalled preview upcoming digitimes apple completed engineering validation testing evt least one iphone 17 model according paywalled preview upcoming digitimes report evt stage involves apple testing ipho… 886 chars
Scientists discover massive molecular cloud close to Earth - CNN,"Named Eos, the cloud of gas would appear huge in the night sky if visible to the naked eye and could shed light on solar system formation.","Sign up for CNNs Wonder Theory science newsletter. Explore the universe with news on fascinating discoveries, scientific advancements and more.
An invisible molecular cloud that could shed light on … [+3920 chars]","Scientists discover massive molecular cloud close to Earth - CNN Named Eos, the cloud of gas would appear huge in the night sky if visible to the naked eye and could shed light on solar system formation. Sign up for CNNs Wonder Theory science newsletter. Explore the universe with news on fascinating discoveries, scientific advancements and more.
An invisible molecular cloud that could shed light on … [+3920 chars]",scientists discover massive molecular cloud close earth cnn named eos cloud gas would appear huge night sky visible naked eye could shed light solar system formation sign cnns wonder theory science newsletter explore universe news fascinating discoveries scientific advancements invisible molecular cloud could shed light … 3920 chars
Astronomers gaze into 'dark nebula' 60 times the size of the solar system (video) - Space,"The dark nebula is part of the Circinus West molecular cloud, which stretches for 180 light-years, containing a mass 250,000 times that of the sun.","Astronomers have discovered a dense stellar nursery packed with infant stars in a vast ""cosmic ink blot.""
The team made the discovery using one of the most powerful digital cameras in the world: the… [+4838 chars]","Astronomers gaze into 'dark nebula' 60 times the size of the solar system (video) - Space The dark nebula is part of the Circinus West molecular cloud, which stretches for 180 light-years, containing a mass 250,000 times that of the sun. Astronomers have discovered a dense stellar nursery packed with infant stars in a vast ""cosmic ink blot.""
The team made the discovery using one of the most powerful digital cameras in the world: the… [+4838 chars]",astronomers gaze dark nebula 60 times size solar system video space dark nebula part circinus west molecular cloud stretches 180 lightyears containing mass 250000 times sun astronomers discovered dense stellar nursery packed infant stars vast cosmic ink blot team made discovery using one powerful digital cameras world the… 4838 chars
"Cyndi Lauper, OutKast are among 13 Rock & Roll Hall of Fame inductees - The Washington Post","The music foundation will also honor Warren Zevon and Chubby Checker of “Twist” fame, plus bands like Salt-N-Pepa, the White Stripes and Soundgarden.","The Rock &amp; Roll Hall of Fame unveiled its latest 13 inductees Sunday, including Cyndi Lauper, OutKast and Warren Zevon but leaving out Mariah Carey and Oasis, who were among the nominees.
The in… [+1853 chars]","Cyndi Lauper, OutKast are among 13 Rock & Roll Hall of Fame inductees - The Washington Post The music foundation will also honor Warren Zevon and Chubby Checker of “Twist” fame, plus bands like Salt-N-Pepa, the White Stripes and Soundgarden. The Rock &amp; Roll Hall of Fame unveiled its latest 13 inductees Sunday, including Cyndi Lauper, OutKast and Warren Zevon but leaving out Mariah Carey and Oasis, who were among the nominees.
The in… [+1853 chars]",cyndi lauper outkast among 13 rock roll hall fame inductees washington post music foundation also honor warren zevon chubby checker “twist” fame plus bands like saltnpepa white stripes soundgarden rock amp roll hall fame unveiled latest 13 inductees sunday including cyndi lauper outkast warren zevon leaving mariah carey oasis among nominees in… 1853 chars
Ultra-processed foods may be linked to early death - BBC,"UPFs, such as crisps, biscuits, ice cream, hot dogs and fizzy drinks, are increasingly common in diets worldwide.","Philippa Roxby
Crisps, croissants, doughnuts, muffins, sweets and hot dogs all count as ultra-processed food
People who eat lots of ultra-processed foods (UPF) may be at greater risk of dying early… [+4847 chars]","Ultra-processed foods may be linked to early death - BBC UPFs, such as crisps, biscuits, ice cream, hot dogs and fizzy drinks, are increasingly common in diets worldwide. Philippa Roxby
Crisps, croissants, doughnuts, muffins, sweets and hot dogs all count as ultra-processed food
People who eat lots of ultra-processed foods (UPF) may be at greater risk of dying early… [+4847 chars]",ultraprocessed foods may linked early death bbc upfs crisps biscuits ice cream hot dogs fizzy drinks increasingly common diets worldwide philippa roxby crisps croissants doughnuts muffins sweets hot dogs count ultraprocessed food people eat lots ultraprocessed foods upf may greater risk dying early… 4847 chars
