source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'CleanTechnica'}",Michael Barnard,Busting Geothermal Myths: The Promise & Limits of Deep Closed Loop & Enhanced Systems,"Recently, I had the opportunity to sit down Simon Todd, PhD geologist, founder of Causeway Energies, and expert on geothermal. This is the transcript of the second half of our conversation, lightly edited. Michael Barnard [MB]: Hi, welcome back to Redefining …",https://cleantechnica.com/2025/04/28/busting-geothermal-myths-the-promise-limits-of-deep-closed-loop-enhanced-systems/,https://cleantechnica.com/wp-content/uploads/2025/04/ChatGPT-Image-Apr-28-2025-04_08_21-PM-800x533.png,2025-04-28T23:52:55Z,"Sign up for CleanTechnica's Weekly Substack for Zach and Scott's in-depth analyses and high level summaries, sign up for our daily newsletter, and/or follow us on Google News!
Recently, I had the op… [+39694 chars]"
"{'id': 'espn', 'name': 'ESPN'}",Tom Fenton,"Transfer rumors, news: D.C. United eyeing move for Pogba","D.C United are keeping tabs ahead of a possible move for free agent midfielder Paul Pogba. Transfer Talk has the latest news, gossip and rumors.",https://www.espn.com/soccer/story/_/id/44907261/transfer-rumors-news-dc-united-eyeing-move-paul-pogba,https://a.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0428%2Fr1485464_1296x729_16%2D9.jpg,2025-04-28T23:51:20Z,"Apr 28, 2025, 07:39 PM ET
D.C. United have reportedly begun talks withPaul Pogba, while Chelsea are plotting a double summer raid for Marc Guéhi and Dean Huijsen. Join us for the latest transfer new… [+2939 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",Scott Thompson,"Trump takes jab at Giants, says he told team not to let Saquon Barkley leave: 'I called that one'","During the Philadelphia Eagles' Super Bowl LIX celebration at the White House, President Donald Trump jabbed at the New York Giants, saying he told them not to let Saquon Barkley go.",https://www.foxnews.com/sports/trump-takes-jab-giants-says-he-told-team-not-let-saquon-barkley-leave-i-called-one,https://static.foxnews.com/foxnews.com/content/uploads/2025/04/saquon-barkley4.jpg,2025-04-28T23:51:20Z,"Saquon Barkley won a Super Bowl with the Philadelphia Eagles, but his past with the New York Giants remains a talking point even for the president of the United States. 
The Eagles were at the White… [+2835 chars]"
"{'id': 'fox-sports', 'name': 'Fox Sports'}",Eric Williams,Jordan Ta’amu’s 300-yard performance highlights UFL Week 5 storylines,"Defenders QB Jordan Ta'amu leads the UFL in passing midway through the 2025 season, as big plays on offense dominated Week 5.",https://www.foxsports.com/stories/ufl/jordan-taamus-300-yard-performance-highlights-ufl-week-5-storylines,https://a57.foxsports.com/statics.foxsports.com/www.foxsports.com/content/uploads/2025/04/1408/814/taamu.jpg?ve=1&tl=1,2025-04-28T23:50:48Z,"At the midpoint of the 2025 UFL
 season, DC Defenders
 QB Jordan Taamu has emerged as the league's best player.
Taamu continued his impressive play over the weekend, leading his team back from a 1… [+6451 chars]"
"{'id': None, 'name': 'Screen Rant'}",Guy Howie,American Sniper Ending Explained: What Happened To Chris Kyle At The Shooting Range,"American Sniper tells the story of specialist US Navy SEAL sniper Chris Kyle, and appears to have a happy ending until one fateful shooting trip.",https://screenrant.com/american-sniper-ending-explained/,https://static1.srcdn.com/wordpress/wp-content/uploads/2025/04/imagery-from-american-sniper.jpg,2025-04-28T23:50:34Z,"Clint Eastwoods 2014 war movie American Sniper is based on the engrossing true story of Chris Kyle, a US Navy SEAL who served four campaigns in the Iraq War. The film is based on Kyles own autobiogra… [+7035 chars]"
"{'id': None, 'name': 'Thefly.com'}",,"Aerovate Therapeutics Inc trading halted, news pending","See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",https://thefly.com/permalinks/entry.php/id4115405/AVTE-Aerovate-Therapeutics-Inc-trading-halted-news-pending,https://thefly.com/images/meta/hotstocks.jpg,2025-04-28T23:50:00Z,"Earnings calls, analyst events, roadshows and more"
"{'id': None, 'name': 'GlobeNewswire'}",Oroco Resource Corp.,OROCO FILES SHELF PROSPECTUS,"Vancouver, Canada, April 28, 2025 (GLOBE NEWSWIRE) -- Oroco Resource Corp. (TSX-V: OCO, OTC: ORRCF) (“Oroco” or the “Company”).  is pleased to announce that it has filed and obtained a receipt for a final short form base shelf prospectus (the “Prospectus“) wi…",https://www.globenewswire.com/news-release/2025/04/28/3069778/0/en/OROCO-FILES-SHELF-PROSPECTUS.html,https://ml.globenewswire.com/Resource/Download/9cdeba39-6cad-4a5f-9bdf-ce4b7820cc64,2025-04-28T23:50:00Z,"Vancouver, Canada, April 28, 2025 (GLOBE NEWSWIRE) -- Oroco Resource Corp. (TSX-V: OCO, OTC: ORRCF) (Oroco or the Company).  is pleased to announce that it has filed and obtained a receipt for a fina… [+5469 chars]"
"{'id': None, 'name': 'TheBlaze'}",Blaze News,Private equity executive allegedly committed 'grotesque physical and sexual violence' against women he found online,"A wealthy private equity executive was arrested for alleged ""grotesque physical and sexual violence"" against women he found online, and police believe there may be more victims.

Ryan Hemphill was indicted on 116 counts, including 24 of predatory sexual assau…",https://www.theblaze.com/news/private-equity-rape-torture-arrest,https://www.theblaze.com/media-library/private-equity-executive-allegedly-committed-grotesque-physical-and-sexual-violence-against-women-he-found-online.jpg?id=60050840&width=1200&height=600&coordinates=0%2C165%2C0%2C165,2025-04-28T23:49:25Z,"A wealthy private equity executive was arrested for alleged ""grotesque physical and sexual violence"" against women he found online, and police believe there may be more victims.
Ryan Hemphill was in… [+2234 chars]"
"{'id': None, 'name': 'The Denver Post'}",Katie Langford,Bicyclist killed in crash with motorcycle near Fort Collins,"A bicyclist was killed in a crash with a motorcycle rider southwest of Fort Collins on Sunday afternoon, according to the Colorado State Patrol.",https://www.denverpost.com/2025/04/28/fort-collins-bicycle-crash-death-larimer-county/,https://www.denverpost.com/wp-content/uploads/2025/04/DCC-L-STATEPATROL_2MJ2874-7.jpg?w=1024&h=682,2025-04-28T23:48:53Z,"A bicyclist was killed in a crash with a motorcycle rider southwest of Fort Collins on Sunday afternoon, according to the Colorado State Patrol.
Troopers responded to the crash on County Road 38E ne… [+642 chars]"
"{'id': 'financial-post', 'name': 'Financial Post'}",Bloomberg News,Woodside Gives Final Nod for $17.5 Billion US LNG Project,"Woodside Energy Group Ltd. made a final investment decision on a $17.5 billion liquefied natural gas export project in the US, cementing the Australian company’s position as a top supplier.",https://financialpost.com/pmn/business-pmn/woodside-gives-final-nod-for-17-5-billion-us-lng-project,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2025/04/woodsides-oil-and-gas-portfolio.jpg,2025-04-28T23:48:40Z,"(Bloomberg) Woodside Energy Group Ltd. made a final investment decision on a $17.5 billion liquefied natural gas export project in the US, cementing the Australian companys position as a top supplier… [+4008 chars]"
"{'id': None, 'name': 'Snopes.com'}",Jordan Liles,Hitler quote about removing judges credited to Trump was a prank. Here's the history of the passage,"U.S. President Donald Trump reacted to the FBI's arrest of Milwaukee County Circuit Court Judge Hannah Dugan on immigration-related charges with the statement, ""I expect the legal profession to understand that the nation is not here for them but they are here…",https://www.snopes.com//fact-check/hitler-quote-judges-trump/,https://mediaproxy.snopes.com/width/1200/https://media.snopes.com/2025/04/trump_standing_questions_trees.jpg,2025-04-28T23:48:00Z,"Claim:
U.S. President Donald Trump reacted to the FBI's arrest of Milwaukee County Circuit Court Judge Hannah Dugan on immigration-related charges with the statement, ""I expect the legal profession … [+10941 chars]"
"{'id': None, 'name': 'Politicalwire.com'}",Taegan Goddard,Are You Better Off Than You Were 100 Days Ago?,John Avlon: “It’s the classic political question on hyper-fast speed—because the predictable disaster of President Donald Trump redux has torpedoed the American economy and our reputation not in four years but less than four months.”,https://politicalwire.com/2025/04/28/are-you-better-off-than-you-were-100-days-ago/,https://politicalwire.com/wp-content/uploads/2018/02/PW-podcast-logo.jpg,2025-04-28T23:47:14Z,"“There are a lot of blogs and news sites claiming to understand politics, but only a few actually do. Political Wire is one of them.”
 Chuck Todd, host of “Meet the Press”
“Concise. Relevant. To th… [+594 chars]"
"{'id': None, 'name': 'Wilwheaton.net'}",wil@wilwheaton.net (Wil Wheaton),see into the trees,"I get these e-mail updates when someone registers here as a new user. For months, I see one or two every couple of days, and e-mail subscribers are holding steady just under 14,000. I feel like I&#…",https://wilwheaton.net/2025/04/see-into-the-trees/,https://i0.wp.com/wilwheaton.net/wp-content/uploads/2025/01/Screenshot-from-2025-01-04-10-53-38.png?fit=1200%2C300&ssl=1,2025-04-28T23:46:04Z,"I get these e-mail updates when someone registers here as a new user. For months, I see one or two every couple of days, and e-mail subscribers are holding steady just under 14,000. I feel like I’m i… [+6314 chars]"
"{'id': None, 'name': 'Politicalwire.com'}",Taegan Goddard,Trump Officials Using Polygraphs to Find Leakers,"“National security agencies across the Trump administration are ramping up investigations into alleged leaks to the news media, in some cases using polygraph tests that current and former officials say are creating a climate of",https://politicalwire.com/2025/04/28/trump-officials-using-polygraphs-to-find-leakers/,https://politicalwire.com/wp-content/uploads/2018/02/PW-podcast-logo.jpg,2025-04-28T23:46:00Z,"“There are a lot of blogs and news sites claiming to understand politics, but only a few actually do. Political Wire is one of them.”
 Chuck Todd, host of “Meet the Press”
“Concise. Relevant. To th… [+594 chars]"
"{'id': None, 'name': 'HuffPost'}",AP,Woman Accused Of Murdering Paramedic During Ambulance Ride,"Shanetta Bossell, 39, of Kansas City, Missouri, has pleaded not guilty in the fatal stabbing of a paramedic as she was being taken to a hospital in an ambulance.",https://www.huffpost.com/entry/ap-us-paramedic-killed_n_6810122be4b088b8c46523a0,https://img.huffingtonpost.com/asset/6810122c1a00002d00986854.jpeg?cache=5x3qVStxtQ&ops=1200_630,2025-04-28T23:45:52Z,"A woman pleaded not guilty Monday to fatally stabbing a Kansas City, Missouri, paramedic as she was being taken to a hospital in an ambulance.
Shanetta Bossell, 39, was arrested Sunday after trying … [+3602 chars]"
"{'id': None, 'name': 'PEOPLE'}",Charlotte Phillipp,"Turtle Kept in Darkness on a Diet of Cat Food, Feels the Sun for the First Time in 50 Years",A wild eastern box turtle who was kept as a pet for decades has been rehabilitated by a rescue in New Jersey and got her first chance to see the sun in decades this month.,https://people.com/turtle-kept-darkness-diet-cat-food-feels-sun-first-time-50-years-11723686,https://people.com/thmb/fY8026DhVRPXt-rLlYIagbsvGXQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():focal(1226x345:1228x347)/Rockalina-2-042825-7ed318d7bc784811a6f1dcba26a531e8.jpg,2025-04-28T23:44:34Z,<ul><li>A wild eastern box turtle who was kept as a pet for decades has been rehabilitated by a rescue in New Jersey and got her first chance to see the sun in decades this month</li><li>Rockalina th… [+4501 chars]
"{'id': None, 'name': 'Freerepublic.com'}",Clusterf**k Nation,Now You Know,"""Being mean or telling the truth is indistinguishable to far too many people."" —Mike Thompson on X James Howard Kunstler Apr 28, 2025 Woke liberalism is exactly what Christopher Lasch predicted in The Revolt of the Elites, published in 1995 the year after his…",https://freerepublic.com/focus/f-news/4313868/posts,,2025-04-28T23:43:19Z,"Skip to comments.
Now You KnowClusterf**k Nation ^
 | Apr 28, 2025
 | James Howard Kunstler
Posted on 04/28/2025 4:43:19 PM PDT by little jeremiah
""Being mean or telling the truth is indistingui… [+6912 chars]"
"{'id': None, 'name': 'The-independent.com'}",Kevin E G Perry,Terrence Howard says he’s ready to quit acting after roles dried up when he sued Fox and talent agency CAA,"During an appearance on Bill Maher’s podcast, the Oscar nominee claimed he is no longer offered major film or television roles",https://www.the-independent.com/arts-entertainment/tv/news/terrence-howard-lawsuit-fox-disney-caa-b2741142.html,"https://static.the-independent.com/2025/04/28/21/00/GettyImages-1840825722.jpg?trim=134,0,301,0&width=1200&height=800&crop=1200:800",2025-04-28T23:43:13Z,"Your support helps us to tell the story
From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it's investigating the financia… [+3214 chars]"
"{'id': None, 'name': 'New York Post'}",Anthony Blair,Tourist unwittingly captures terror attack as he films himself ziplining with a selfie stick,"I took my wife and son and started running,"" the man in the viral video said.",https://nypost.com/2025/04/28/world-news/tourist-captures-terror-attack-as-he-films-himself-ziplining/,https://nypost.com/wp-content/uploads/sites/2/2025/04/chilling-moment-smiling-tourist-films-103492474.jpg?quality=75&strip=all&w=1024,2025-04-28T23:42:44Z,"Eerie footage shows a tourist enjoying a zipline ride — unaware that below him, a deadly terror attack is in progress.
The tourist filmed himself on the ride during his trip to Pahalgam in India’s J… [+2808 chars]"
"{'id': None, 'name': 'Decrypt'}",Mathew Di Salvo,Mastercard Jumps Into Stablecoin Trend With New Crypto Payment Offering,The payments giant wants crypto holders to be able to spend their stablecoins.,https://decrypt.co/316745/mastercard-stablecoin-frenzy-new-crypto-payment,https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2020/09/mastercard-cbdc-testing-gID_7.jpg,2025-04-28T23:42:30Z,"In brief
<ul><li>Mastercard is partnering with payments processor Nuvei and crypto exchange OKX with its latest digital asset ambitions.</li><li>The move will allow individuals to spend stablecoins … [+2487 chars]"
"{'id': None, 'name': 'GamesRadar+'}",jordan.gerblick@futurenet.com (Jordan Gerblick),"Yoko Taro says Nier: Automata has so many endings because ""Square Enix told us"" to ""add more content""","Thanks, Square",https://www.gamesradar.com/games/action-rpg/yoko-taro-says-nier-automata-has-so-many-endings-because-square-enix-told-us-to-add-more-content/,https://cdn.mos.cms.futurecdn.net/Sqtsoy49Y87twUVGGwbhvA.jpg,2025-04-28T23:41:48Z,"There's a very good reason PlatinumGames went with so many different possible endings in Nier Automata: Their publisher, Square Enix, straight up told them the game needed more stuff.
Nier Automata … [+1612 chars]"
"{'id': None, 'name': 'Politicalwire.com'}",Taegan Goddard,Trump to Soften Blow of Automotive Tariffs,"“President Trump is expected to soften the impact of his automotive tariffs, preventing duties on foreign-made cars from stacking on top of other tariffs he has imposed and easing some levies on foreign parts used",https://politicalwire.com/2025/04/28/trump-to-soften-blow-of-automotive-tariffs/,https://politicalwire.com/wp-content/uploads/2018/02/PW-podcast-logo.jpg,2025-04-28T23:41:46Z,"“There are a lot of blogs and news sites claiming to understand politics, but only a few actually do. Political Wire is one of them.”
 Chuck Todd, host of “Meet the Press”
“Concise. Relevant. To th… [+594 chars]"
"{'id': None, 'name': 'pymnts.com'}",PYMNTS,Report: UPS Considering Partnership With Robotics Startup Figure AI,"UPS and Figure AI are reportedly considering a partnership in which the robotics startup’s humanoid robots would perform some tasks in the logistics company’s operations. Discussions between the two companies are ongoing, Bloomberg reported Monday (April 28),…",https://www.pymnts.com/artificial-intelligence-2/2025/report-ups-considering-partnership-with-robotics-startup-figure-ai/,https://www.pymnts.com/wp-content/uploads/2025/04/UPS-Figure-AI.jpg,2025-04-28T23:39:49Z,"UPS and Figure AI are reportedly considering a partnership in which the robotics startups humanoid robots would perform some tasks in the logistics companys operations.
Discussions between the two c… [+2204 chars]"
"{'id': None, 'name': 'Politicalwire.com'}",Taegan Goddard,Stephen Lynch to Pursue Top House Oversight Post,"“Rep. Stephen Lynch (D-MA) said he will seek to become the top Democrat on the House Oversight Committee after ranking member Gerry Connolly suddenly announced Monday he would step aside,” Politico reports. “But it’s Rep.",https://politicalwire.com/2025/04/28/stephen-lynch-to-pursue-top-house-oversight-post/,https://politicalwire.com/wp-content/uploads/2018/02/PW-podcast-logo.jpg,2025-04-28T23:39:44Z,"“There are a lot of blogs and news sites claiming to understand politics, but only a few actually do. Political Wire is one of them.”
 Chuck Todd, host of “Meet the Press”
“Concise. Relevant. To th… [+594 chars]"
"{'id': None, 'name': 'Crikey'}",Cam Wilson,Illegal betting website Polymarket paying TikTokers to promote election gambling,"Polymarket can't legally operate in Australia. But that hasn't stopped the company from paying Australian Instagram and TikTok creators to promote its federal election gambling markets.
The post Illegal betting website Polymarket paying TikTokers to promote e…",http://www.crikey.com.au/2025/04/29/illegal-gambling-website-polymarket-paying-tiktokers-promote-election-gambling/,https://www.crikey.com.au/wp-content/uploads/sites/3/2025/04/polymarket.png?quality=70&w=1024,2025-04-28T23:38:37Z,"An illegal gambling company is paying Australian TikTok and Instagram creators to promote Australian federal election bets. 
Polymarket is a US-based company that offers prediction markets for peopl… [+4045 chars]"
"{'id': None, 'name': 'The Daily Dot'}",Rachel Kiley,The Labubu craze is fueling scams—here’s how to spot a fake,"Plush creatures called Labubus have exploded into popularity recently—which has, in turn, given rise to a lot of knock-offs. If this is a trend you want to explore, how do you spot the difference?


What are Labubus?


Labubus are strange little plush creatur…",https://www.dailydot.com/culture/how-to-spot-fake-labubu/,https://uploads.dailydot.com/2025/04/labubu_lafufu_scam_no_kids_tik_tok.png?auto=compress&fit=scale&fm=png&h=400&w=800,2025-04-28T23:37:30Z,"Plush creatures called Labubus have exploded into popularity recentlywhich has, in turn, given rise to a lot of knock-offs. If this is a trend you want to explore, how do you spot the difference?
La… [+4437 chars]"
"{'id': None, 'name': 'Bleeding Cool News'}",El Presidente,Schrödinger's Dustin Rhodes Both Respected and Not Respected in WWE,"Greetings, comrades! It is I, your El Presidente, reporting to you live from my gold-plated underground bunker where I am currently hiding from the American CIA agents who have been trying to infiltrate my compound disguised as wrestling merchandise vendors! …",https://bleedingcool.com/tv/schrodingers-dustin-rhodes-both-respected-and-not-respected-in-wwe/,https://bleedingcool.com/wp-content/uploads/2024/06/Dustin-Rhodes-AEW-Collision-2000x1125.jpg,2025-04-28T23:37:06Z,"Posted in: AEW, Sports, TV, WWE | Tagged: dustin rhodes, wrestling
Comrades! Your El Presidente reports on Dustin Rhodes' quantum wrestling paradox! Was he respected in WWE? Yes and no! The CIA is v… [+4908 chars]"
"{'id': None, 'name': 'Boxingnews24.com'}",@TheWritersTeam,“We’re Going for That Knockout”: Munguia Promises Vengeance Against Surace,"Bruno Surace says he wants to prove that his previous victory over super middleweight contender Jaime Munguia → read article 
“We’re Going for That Knockout”: Munguia Promises Vengeance Against Surace @ Boxing News 24",https://www.boxingnews24.com/2025/04/were-going-for-that-knockout-munguia-promises-vengeance-against-surace/,https://www.boxingnews24.com/wp-content/uploads/2024/12/Jaime-Munguia-vs-Bruno-Surace_faceoff2.jpg,2025-04-28T23:36:54Z,"Bruno Surace says he wants to prove that his previous victory over super middleweight contender Jaime Munguia was no fluke when he faces him this Saturday, May 3rd, on DAZN PPV on the undercard of Ca… [+2350 chars]"
"{'id': None, 'name': 'TheWrap'}",Lucas Manfredi,FCC Chair Says CBS-Trump Settlement Talks Have Nothing to Do With Paramount-Skydance Deal Review,"Brendan Carr added ""all options remain on the table"" in its ""60 Minutes"" investigation after the president called for the ""maximum fines and punishment""
The post FCC Chair Says CBS-Trump Settlement Talks Have Nothing to Do With Paramount-Skydance Deal Review …",https://www.thewrap.com/fcc-brendan-carr-cbs-trump-settlement-talks-60-minutes-investigation/,https://www.thewrap.com/wp-content/uploads/2024/11/brendan-carr-1.jpg,2025-04-28T23:36:24Z,FCC chairman Brendan Carr sidestepped a question during a Monday press conference about how a potential settlement of President Trump’s $20 billion lawsuit against CBS over its “60 Minutes” Kamala Ha… [+2986 chars]
